CONM,TIC,CIK
MARINEMAX INC,HZO,1057060
EAGLE BANCORP INC/MD,EGBN,1050441
RH,RH,1528849
SHARPS COMPLIANCE CORP,SMED,898770
CEMTREX INC,CETX,1435064
AMERICAN OUTDOOR BRANDS CORP,AOBC,1092796
PARK CITY GROUP INC,PCYG,50471
GREENE COUNTY BANCORP INC,GCBC,1070524
BOTTOMLINE TECHNOLOGIES INC,EPAY,1073349
KORN FERRY,KFY,56679
CAPITOL FEDERAL FINL INC,CFFN,1490906
F5 NETWORKS INC,FFIV,1048695
GREAT ELM CAPITAL GROUP INC,GEC,1082506
HOOKER FURNITURE CORP,HOFT,1077688
1-800-FLOWERS.COM,FLWS,1084869
RED HAT INC,RHT,1087423
NETSCOUT SYSTEMS INC,NTCT,1078075
POLARITYTE INC,PTE,1076682
EGAIN CORP,EGAN,1066194
OMNOVA SOLUTIONS INC,OMN,1090061
PARAMOUNT GOLD NEVADA CORP,PZG,1629210
FINISAR CORP,FNSR,1094739
AGILENT TECHNOLOGIES INC,A,1090872
EDGEWELL PERSONAL CARE CO,EPC,1096752
CABOT MICROELECTRONICS CORP,CCMP,1102934
INNOVATIVE SOLTNS & SUPP INC,ISSC,836690
MARVELL TECHNOLOGY GROUP LTD,MRVL,1058057
CAPSTONE TURBINE CORP,CPST,1009759
LANTRONIX INC,LTRX,1114925
RTI SURGICAL HOLDINGS INC,RTIX,1760173
TAPESTRY INC,TPR,1116132
ARRAY BIOPHARMA INC,ARRY,1100412
RESOURCES CONNECTION INC,RGP,1084765
SYNAPTICS INC,SYNA,817720
ACCENTURE PLC,ACN,1467373
GAMESTOP CORP,GME,1326380
ACUITY BRANDS INC,AYI,1144215
VERINT SYSTEMS INC,VRNT,1166388
CALAVO GROWERS INC,CVGW,1133470
AECOM,ACM,868857
TRANSDIGM GROUP INC,TDG,1260221
KIRKLAND'S INC,KIRK,1056285
HENNESSY ADVISORS INC,HNNA,1145255
DICKS SPORTING GOODS INC,DKS,1089063
SEAGATE TECHNOLOGY PLC,STX,1137789
CINEDIGM CORP,CIDM,1173204
SYNNEX CORP,SNX,1177394
ADVANCED EMISSIONS SOLUTIONS,ADES,1515156
CONN'S INC,CONN,1223389
SALESFORCE.COM INC,CRM,1108524
MEI PHARMA INC,MEIP,1262104
ASSURED GUARANTY LTD,AGO,1273813
GSI TECHNOLOGY INC,GSIT,1126741
RTW RETAILWINDS INC,RTW,1211351
BEACON ROOFING SUPPLY INC,BECN,1124941
ENERSYS,ENS,1289308
BUILD-A-BEAR WORKSHOP INC,BBW,1113809
KEARNY FINANCIAL CORP,KRNY,1617242
PRUDENTIAL BANCORP INC,PBIP,1578776
PB BANCORP INC,PBBI,1652106
PRESTIGE CONSUMER HEALTHCARE,PBH,1295947
DOLBY LABORATORIES INC,DLB,1308547
IHS MARKIT LTD,INFO,1598014
RADIANT LOGISTICS INC,RLGT,1171155
ZUMIEZ INC,ZUMZ,1318008
CITI TRENDS INC,CTRN,1318484
KENTUCKY FIRST FEDERAL BNCRP,KFFB,1297341
CAMBER ENERGY INC,CEI,1309082
CIMPRESS PLC,CMPR,1262976
ADVAXIS INC,ADXS,1100397
RBC BEARINGS INC,ROLL,1324948
COUNTERPATH CORP,CPAH,1236997
VIACOM INC,VIAB,1339947
CASTLE BRANDS INC,ROX,1311538
MAM SOFTWARE GROUP INC,MAMS,832488
LIQUIDITY SERVICES INC,LQDT,1235468
MUELLER WATER PRODUCTS INC,MWA,1350593
GENERAL FINANCE CORP/DE,GFN,1342287
HOMETRUST BANCSHARES INC,HTBI,1538263
ORAMED PHARMACEUTICALS INC,ORMP,1176309
POST HOLDINGS INC,POST,1530950
SPLUNK INC,SPLK,1353283
ORGANOVO HOLDINGS INC,ONVO,1497253
ASPEN GROUP INC,ASPU,1487198
PALO ALTO NETWORKS INC,PANW,1327567
FIVE BELOW INC,FIVE,1177609
ENERGY SERVICES OF AMERICA,ESOA,1357971
SONOMA PHARMACEUTICALS INC,SNOA,1367083
SALLY BEAUTY HOLDINGS INC,SBH,1368458
CATALYST PHARMACEUTICALS INC,CPRX,1369568
ORITANI FINANCIAL CORP,ORIT,1483195
AEROVIRONMENT INC,AVAV,1368622
SUPER MICRO COMPUTER INC,SMCI,1375365
AVIAT NETWORKS INC,AVNW,1377789
ACCURAY INC,ARAY,1138723
ESSA BANCORP INC,ESSA,1382230
TFS FINANCIAL CORP,TFSL,1381668
BRIDGELINE DIGITAL INC,BLIN,1378590
BROADRIDGE FINANCIAL SOLUTNS,BR,1383312
TE CONNECTIVITY LTD,TEL,1385157
LIMELIGHT NETWORKS INC,LLNW,1391127
VIRTUSA CORP,VRTU,1207074
SINTX TECHNOLOGIES INC,SINT,1269026
LULULEMON ATHLETICA INC,LULU,1397187
VMWARE INC -CL A,VMW,1124610
PZENA INVESTMENT MANAGEMENT,PZN,1399249
ULTA BEAUTY INC,ULTA,1403568
TITAN MACHINERY INC,TITN,1409171
K12 INC,LRN,1157408
ORION ENERGY SYSTEMS INC,OESX,1409375
FORESTAR GROUP INC,FOR,1406587
CARDIOVASCULAR SYSTEMS INC,CSII,1180145
MONAKER GROUP INC,MKGI,1372183
AYTU BIOSCIENCE INC,AYTU,1385818
VISA INC,V,1403161
CHINA JO-JO DRUGSTORES INC,CJJD,1413263
SOLARWINDS CORP,SWI,1739942
QUANEX BUILDING PRODUCTS,NX,1423221
MALVERN BANCORP INC,MLVF,1550603
SINO-GLOBAL SHIPPING AMERICA,SINO,1422892
OAKTREE SPECIALTY LENDING CP,OCSL,1414932
REXNORD CORP,RXN,1439288
IBIO INC,IBIO,1420720
RECON TECHNOLOGY LTD,RCON,1442620
BROADCOM INC,AVGO,1730168
FIRST SAVINGS FINANCIAL GP,FSFG,1435508
ANCHOR BANCORP/WA,ANCB,1448301
CODA OCTOPUS GROUP INC,CODA,1334325
ORGENESIS INC,ORGS,1460602
CHINA HGS REAL ESTATE INC,HGSH,1158420
TELENAV INC,TNAV,1474439
NATIONAL AMERN UNIV HLDG INC,NAUH,1399855
MSG NETWORKS INC,MSGN,1469372
S&W SEED CO,SANW,1477246
QUINSTREET INC,QNST,1117297
ALPHA AND OMEGA SEMICONDUCTR,AOSL,1387467
ELECTROMED INC,ELMD,1488917
VERA BRADLEY INC,VRA,1495320
SEMILEDS CORP,LEDS,1333822
OCONEE FEDERAL FINANCIAL CP,OFED,1501078
BOOZ ALLEN HAMILTON HLDG CP,BAH,1443646
PRESIDIO INC,PSDO,1631825
REV GROUP INC,REVG,1687221
GLOBAL WATER RESOURCES INC,GWRS,1434728
THERMON GROUP HOLDINGS INC,THR,1489096
ARAMARK,ARMK,1584509
FRANCESCAS HOLDINGS CORP,FRAN,1399935
LIVEXLIVE MEDIA,LIVX,1491419
UBIQUITI INC,UI,1511737
IF BANCORP INC,IROQ,1514743
WESCO AIRCRAFT HOLDINGS INC,WAIR,1378718
GUIDEWIRE SOFTWARE INC,GWRE,1528396
EYEPOINT PHARMACEUTICALS INC,EYPT,1314102
OCEAN POWER TECHNOLOGIES INC,OPTT,1378140
ANGIODYNAMICS INC,ANGO,1275187
ENSYNC INC,ESNC,1140310
VISLINK TECHNOLOGIES INC,VISL,1565228
DORIAN LPG LTD,LPG,1596993
MERCHANTS BANCORP,MBIN,1629019
RALPH LAUREN CORP,RL,1037038
QAD INC,QADA,1036188
STEELCASE INC,SCS,1050825
PEAK RESORTS INC,SKIS,1517401
NEWLINK GENETICS CORP,NLNK,1126234
